vehicle_type,second_vehicle_type,date,time,road_has_pavement,distance_to_nearest_traffic_light,speed_limit,estimated_speed_of_collision,speed_of_collision_rangeseat_belt_used,injury_sustained,lethal,land_use,city
Pedestrian,Pedestrian,19/11/18,20:18,0,27,20,11,10 - 15,N/A,0,0,Transport,Nairobi
Car,Car,05/06/18,19:19,0,6,50,61,60 - 65,1,1,0,Residential,Kikuyu
Pedestrian,Car,10/08/18,08:56,0,22,20,24,20 - 25,1,1,0,Residential,Nairobi
Bicycle,Pedestrian,22/09/18,17:59,1,14,30,26,25 - 30,N/A,0,0,Residential,Nairobi
Motorbike,Car,15/11/18,20:28,1,16,50,54,50 - 55,0,1,0,Industrial,Nairobi
Motorbike,Motorbike,02/04/18,17:17,0,17,50,56,55 - 60,N/A,1,0,Agricultural,Kisumu
Pedestrian,Bicycle,22/06/18,08:16,1,26,20,24,20 - 25,N/A,1,0,Commercial,Kisumu
Car,Car,18/10/18,11:42,0,19,50,57,55 - 60,0,1,0,Agricultural,Kehancha
Car,Pedestrian,23/12/18,19:57,0,24,40,33,30 - 35,1,1,0,Residential,Nairobi
Pedestrian,Motorbike,02/10/18,17:36,1,17,50,60,60 - 65,N/A,1,0,Residential,Kisumu
Car,Car,24/11/18,05:28,0,4,60,59,55 - 60,0,1,1,Agricultural,Mombasa
Car,Car,09/12/18,10:13,1,19,50,39,35 - 40,1,1,0,Residential,Nakuru
Car,Bicycle,04/01/18,18:37,0,2,30,38,35 - 40,1,0,0,Agricultural,Nairobi
Pedestrian,Car,07/07/18,01:59,0,22,40,40,40 - 45,0,1,0,Industrial,Kisumu
Motorbike,Bicycle,15/04/18,20:49,1,12,40,37,35 - 40,N/A,1,0,Residential,Mombasa
Bicycle,Motorbike,02/05/18,05:58,1,11,20,20,20 - 25,N/A,1,0,Residential,Mombasa
Car,Pedestrian,18/02/18,19:31,0,9,30,43,40 - 45,0,1,0,Industrial,Nairobi
Car,Car,07/04/18,14:51,0,32,50,44,40 - 45,0,1,0,Agricultural,Nairobi
Bicycle,Bicycle,14/01/18,17:23,0,18,30,28,25 - 30,N/A,0,0,Residential,Mombasa
Car,Car,24/07/18,04:26,0,9,60,56,55 - 60,1,1,0,Residential,Nairobi
Motorbike,Bicycle,08/09/18,18:17,0,6,30,31,30 - 35,N/A,1,0,Transport,Mombasa
Car,Motorbike,11/11/18,08:57,0,12,60,67,65 - 70,1,1,1,Agricultural,Nairobi
Car,Bicycle,24/02/18,08:46,1,7,50,63,60 - 65,1,1,0,Residential,Mombasa
Car,Car,16/05/18,08:51,0,19,50,42,40 - 45,1,1,0,Agricultural,Nairobi
Pedestrian,Pedestrian,27/08/18,18:42,0,8,20,7,5 - 10,N/A,0,0,Commercial,Kikuyu
Car,Pedestrian,18/01/18,18:25,0,20,30,33,30 - 35,1,0,0,Agricultural,Nairobi
Car,Motorbike,07/04/18,10:52,0,19,30,36,35 - 40,1,1,0,Residential,Nairobi
Pedestrian,Car,01/07/18,01:39,0,16,30,25,25 - 30,1,1,0,Industrial,Nairobi
Car,Car,03/03/18,18:30,1,18,30,43,40 - 45,1,1,0,Residential,Nairobi
Car,Motorbike,06/11/18,23:04,1,10,70,58,55 - 60,1,1,0,Residential,Nairobi
Motorbike,Motorbike,25/01/18,10:57,0,36,40,34,30 - 35,N/A,1,0,Industrial,Kehancha
Bicycle,Pedestrian,18/04/18,20:47,0,0,20,27,25 - 30,N/A,0,0,Residential,Mombasa
Car,Car,16/07/18,18:27,1,13,60,63,60 - 65,0,1,0,Residential,Mombasa
Car,Car,04/05/18,20:56,0,5,40,43,40 - 45,1,1,0,Commercial,Nairobi
Pedestrian,Pedestrian,03/10/18,19:28,0,22,20,21,20 - 25,N/A,1,0,Commercial,Nairobi
Motorbike,Bicycle,05/06/18,18:28,0,33,30,34,30 - 35,N/A,1,0,Residential,Mombasa
Pedestrian,Car,05/04/18,22:11,0,9,20,21,20 - 25,1,0,0,Commercial,Nairobi
Bicycle,Motorbike,07/12/18,08:10,0,9,20,13,10 - 15,N/A,1,0,Agricultural,Nairobi
Bicycle,Car,10/08/18,10:24,0,14,40,45,45 - 50,1,1,0,Agricultural,Nairobi
Car,Motorbike,28/08/18,17:23,1,9,60,69,65 - 70,1,1,0,Commercial,Nairobi
Motorbike,Car,21/11/18,19:45,1,4,40,45,45 - 50,1,1,0,Residential,Nairobi
Car,Car,14/10/18,20:11,0,17,50,62,60 - 65,1,1,0,Residential,Mombasa
Car,Pedestrian,05/09/18,18:22,1,9,50,56,55 - 60,1,0,0,Commercial,Nairobi
Motorbike,Motorbike,05/06/18,14:41,1,16,40,42,40 - 45,N/A,1,0,Residential,Mombasa
Pedestrian,Pedestrian,14/08/18,07:44,1,5,20,22,20 - 25,N/A,0,0,Residential,Mombasa
Motorbike,Bicycle,03/08/18,09:37,0,11,40,43,40 - 45,N/A,1,0,Residential,Mombasa
Car,Bicycle,16/08/18,18:42,0,12,40,40,40 - 45,1,1,0,Industrial,Nairobi
Pedestrian,Bicycle,09/03/18,10:04,1,16,30,22,20 - 25,N/A,1,0,Commercial,Nakuru
Motorbike,Car,20/11/18,10:22,0,2,60,57,55 - 60,1,1,1,Agricultural,Mombasa
Car,Car,15/07/18,08:40,1,17,40,44,40 - 45,1,1,0,Commercial,Kehancha
Car,Bicycle,13/10/18,08:58,1,10,40,35,35 - 40,1,1,0,Commercial,Nairobi
Pedestrian,Pedestrian,12/09/18,07:59,1,22,30,27,25 - 30,N/A,1,0,Residential,Mombasa
Motorbike,Motorbike,16/12/18,03:40,0,17,40,48,45 - 50,N/A,1,0,Agricultural,Nairobi
Pedestrian,Pedestrian,04/03/18,05:31,0,17,20,18,15 - 20,N/A,0,0,Agricultural,Nairobi
Car,Car,05/01/18,01:44,0,27,50,54,50 - 55,0,1,1,Agricultural,Kehancha
Car,Motorbike,12/11/18,17:09,0,4,40,36,35 - 40,1,1,0,Agricultural,Nairobi
Car,Car,22/10/18,15:02,1,14,50,65,65 - 70,1,1,0,Commercial,Mombasa
Car,Motorbike,15/03/18,21:15,0,26,40,36,35 - 40,1,1,0,Transport,Nairobi
Car,Car,22/03/18,19:50,1,20,40,52,50 - 55,1,1,0,Residential,Mombasa
Car,Car,24/02/18,08:00,1,15,70,71,70 - 75,0,1,0,Commercial,Nairobi
Bicycle,Bicycle,22/06/18,19:18,0,9,30,25,25 - 30,N/A,1,0,Industrial,Nairobi
Motorbike,Car,21/10/18,01:05,0,9,50,46,45 - 50,1,1,0,Agricultural,Nairobi
Car,Car,21/04/18,19:16,0,29,60,59,55 - 60,1,1,0,Transport,Nairobi
Car,Car,02/05/18,15:10,0,23,40,42,40 - 45,0,1,0,Agricultural,Mombasa
Car,Car,23/06/18,18:05,0,35,50,46,45 - 50,1,1,0,Transport,Nairobi
Bicycle,Pedestrian,28/05/18,11:59,0,1,20,26,25 - 30,N/A,0,0,Agricultural,Nairobi
Pedestrian,Motorbike,19/12/18,18:57,0,8,20,8,5 - 10,N/A,1,0,Commercial,Nairobi
Pedestrian,Motorbike,07/03/18,05:43,0,10,40,46,45 - 50,N/A,1,0,Agricultural,Kikuyu
Car,Motorbike,17/04/18,04:39,0,11,60,56,55 - 60,1,1,0,Agricultural,Nairobi
Pedestrian,Pedestrian,01/07/18,08:28,0,25,20,14,10 - 15,N/A,0,0,Industrial,Mombasa
Pedestrian,Pedestrian,05/09/18,23:51,0,23,20,16,15 - 20,N/A,1,0,Agricultural,Mombasa
Bicycle,Bicycle,19/07/18,09:50,1,21,20,27,25 - 30,N/A,1,0,Residential,Kikuyu
Bicycle,Pedestrian,27/07/18,20:10,0,20,30,40,40 - 45,N/A,1,0,Commercial,Nairobi
Bicycle,Pedestrian,28/03/18,17:28,0,8,20,20,20 - 25,N/A,0,0,Agricultural,Nairobi
Bicycle,Pedestrian,21/05/18,17:09,0,21,40,54,50 - 55,N/A,0,0,Agricultural,Eldoret
Motorbike,Bicycle,14/06/18,18:34,0,17,20,26,25 - 30,N/A,1,0,Residential,Nakuru
Car,Car,06/07/18,08:30,1,4,50,38,35 - 40,1,0,0,Residential,Mombasa
Car,Car,16/11/18,18:45,0,30,70,69,65 - 70,0,1,0,Residential,Mombasa
Car,Motorbike,07/09/18,19:23,0,24,30,37,35 - 40,1,1,0,Agricultural,Nairobi
Pedestrian,Pedestrian,04/06/18,20:57,0,7,30,21,20 - 25,N/A,0,0,Agricultural,Nairobi
Bicycle,Car,18/06/18,12:03,0,7,40,42,40 - 45,1,1,0,Transport,Mombasa
Car,Car,06/02/18,19:57,0,18,60,56,55 - 60,0,1,1,Residential,Eldoret
Pedestrian,Pedestrian,07/04/18,20:50,1,2,20,9,5 - 10,N/A,0,0,Residential,Nairobi
Car,Motorbike,01/11/18,09:24,0,5,50,48,45 - 50,1,1,0,Residential,Nairobi
Bicycle,Bicycle,05/03/18,19:47,1,14,30,25,25 - 30,N/A,1,0,Residential,Nairobi
Motorbike,Car,08/07/18,08:18,0,11,50,58,55 - 60,0,1,1,Agricultural,Nairobi
Bicycle,Car,06/02/18,17:00,0,18,30,31,30 - 35,0,1,0,Agricultural,Nairobi
Car,Motorbike,09/02/18,19:54,0,9,60,56,55 - 60,0,1,1,Residential,Nairobi
Pedestrian,Car,19/06/18,17:08,0,18,40,33,30 - 35,1,1,0,Transport,Nairobi
Car,Pedestrian,15/04/18,17:14,0,31,40,46,45 - 50,1,1,0,Residential,Nairobi
Motorbike,Car,18/04/18,10:01,0,23,40,43,40 - 45,0,1,0,Residential,Kehancha
Car,Motorbike,15/03/18,09:22,1,18,60,59,55 - 60,1,1,0,Transport,Nairobi
Car,Bicycle,06/07/18,23:52,0,25,30,27,25 - 30,1,1,0,Commercial,Kisumu
Pedestrian,Motorbike,07/07/18,10:03,1,5,30,35,35 - 40,N/A,1,0,Residential,Nairobi
Motorbike,Car,18/05/18,17:43,0,19,50,50,50 - 55,0,1,0,Residential,Nairobi
Bicycle,Bicycle,11/10/18,10:52,1,14,30,19,15 - 20,N/A,1,0,Residential,Kikuyu
Car,Car,05/10/18,18:42,0,16,60,75,75 - 80,0,1,0,Agricultural,Eldoret
Pedestrian,Car,19/02/18,13:19,0,18,20,25,25 - 30,1,1,0,Industrial,Nairobi
Bicycle,Motorbike,25/12/18,18:50,0,12,40,41,40 - 45,N/A,1,0,Agricultural,Nairobi
Car,Car,18/04/18,09:18,0,14,50,48,45 - 50,0,1,1,Transport,Nairobi
Car,Motorbike,02/04/18,08:58,1,18,60,62,60 - 65,0,1,1,Residential,Eldoret
Car,Pedestrian,19/07/18,10:56,0,13,40,44,40 - 45,1,1,0,Commercial,Nairobi
Bicycle,Car,24/12/18,20:22,1,24,40,36,35 - 40,1,1,0,Residential,Nairobi
Bicycle,Bicycle,16/07/18,18:29,0,32,30,43,40 - 45,N/A,1,0,Residential,Nairobi
Car,Bicycle,18/07/18,10:08,0,18,40,49,45 - 50,1,1,0,Agricultural,Kisumu
Pedestrian,Pedestrian,07/06/18,18:32,1,10,20,24,20 - 25,N/A,0,0,Residential,Kisumu
Car,Car,20/11/18,13:35,1,10,50,54,50 - 55,1,1,0,Residential,Nairobi
Pedestrian,Motorbike,04/12/18,17:14,0,23,40,40,40 - 45,N/A,1,0,Agricultural,Kisumu
Motorbike,Car,05/12/18,17:51,0,2,60,54,50 - 55,0,1,1,Residential,Kehancha
Bicycle,Bicycle,28/05/18,13:59,0,17,30,35,35 - 40,N/A,1,0,Commercial,Nairobi
Car,Car,11/03/18,20:42,1,4,50,59,55 - 60,1,1,0,Residential,Mombasa
Car,Bicycle,17/01/18,08:49,0,8,30,28,25 - 30,1,1,0,Transport,Nairobi
Bicycle,Motorbike,22/12/18,19:56,0,23,30,33,30 - 35,N/A,1,1,Residential,Mombasa
Car,Car,25/08/18,20:30,1,15,50,44,40 - 45,0,1,0,Residential,Mombasa
Pedestrian,Pedestrian,22/12/18,10:33,0,17,20,26,25 - 30,N/A,0,0,Residential,Eldoret
Bicycle,Pedestrian,22/02/18,23:19,1,26,30,38,35 - 40,N/A,1,0,Residential,Mombasa
Pedestrian,Bicycle,13/09/18,10:03,1,33,30,26,25 - 30,N/A,1,0,Residential,Nakuru
Car,Car,22/12/18,08:20,0,0,70,72,70 - 75,1,1,0,Agricultural,Nairobi
Pedestrian,Motorbike,10/03/18,09:04,0,6,20,9,5 - 10,N/A,1,0,Agricultural,Nairobi
Pedestrian,Car,06/03/18,15:28,1,24,20,18,15 - 20,1,1,0,Transport,Eldoret
Motorbike,Bicycle,03/11/18,18:58,0,2,40,40,40 - 45,N/A,1,1,Residential,Nairobi
Car,Car,16/12/18,10:55,0,31,60,52,50 - 55,1,1,0,Residential,Nairobi
Motorbike,Car,17/12/18,09:02,0,17,50,49,45 - 50,1,1,0,Agricultural,Nairobi
Motorbike,Car,17/02/18,20:03,0,7,60,55,55 - 60,1,1,1,Agricultural,Nairobi
Pedestrian,Pedestrian,12/02/18,02:38,0,12,20,23,20 - 25,N/A,0,0,Agricultural,Mombasa
Car,Car,03/12/18,19:21,1,9,50,48,45 - 50,1,1,0,Commercial,Kisumu
Motorbike,Pedestrian,04/06/18,23:57,0,25,20,18,15 - 20,N/A,1,0,Transport,Nairobi
Pedestrian,Motorbike,17/09/18,00:41,1,3,20,28,25 - 30,N/A,1,0,Residential,Kikuyu
Motorbike,Motorbike,22/06/18,18:56,1,40,40,36,35 - 40,N/A,1,0,Industrial,Nairobi
Bicycle,Bicycle,16/09/18,10:41,1,13,20,33,30 - 35,N/A,1,0,Commercial,Nakuru
Car,Car,11/11/18,18:05,1,2,50,47,45 - 50,1,0,0,Residential,Nairobi
Car,Bicycle,04/02/18,08:58,0,22,30,29,25 - 30,1,1,0,Commercial,Nakuru
Car,Car,28/07/18,09:10,0,21,50,51,50 - 55,0,1,1,Agricultural,Eldoret
Car,Motorbike,08/10/18,10:37,1,16,60,60,60 - 65,1,1,1,Commercial,Nairobi
Car,Car,01/09/18,09:00,0,1,50,50,50 - 55,1,1,0,Commercial,Nairobi
Pedestrian,Motorbike,10/02/18,18:41,0,16,20,34,30 - 35,N/A,1,0,Agricultural,Nairobi
Car,Motorbike,22/03/18,17:48,1,4,40,34,30 - 35,0,1,0,Residential,Nairobi
Car,Pedestrian,25/02/18,19:56,0,15,20,35,35 - 40,1,1,0,Commercial,Nairobi
Car,Car,08/05/18,18:55,0,13,30,24,20 - 25,1,1,0,Residential,Nairobi
Pedestrian,Car,02/12/18,06:18,1,22,30,24,20 - 25,0,1,0,Transport,Nakuru
Car,Car,14/08/18,20:11,0,16,40,55,55 - 60,1,1,0,Transport,Kisumu
Bicycle,Pedestrian,09/07/18,20:55,1,32,30,26,25 - 30,N/A,1,0,Commercial,Nairobi
Car,Car,28/04/18,22:08,0,12,40,50,50 - 55,1,1,0,Agricultural,Nairobi
Bicycle,Car,05/12/18,18:36,1,7,30,35,35 - 40,1,0,0,Residential,Kisumu
Car,Car,18/09/18,20:26,0,28,40,38,35 - 40,1,1,0,Agricultural,Nairobi
Car,Motorbike,19/05/18,01:13,0,12,50,59,55 - 60,1,1,0,Residential,Nairobi
Bicycle,Motorbike,28/11/18,03:50,0,10,30,30,30 - 35,N/A,1,0,Residential,Nairobi
Motorbike,Motorbike,04/02/18,18:34,0,21,50,56,55 - 60,N/A,1,1,Commercial,Nairobi
Car,Car,22/03/18,08:42,0,15,50,44,40 - 45,0,1,0,Residential,Kisumu
Car,Car,19/04/18,18:19,0,6,40,43,40 - 45,0,1,0,Agricultural,Kisumu
Bicycle,Car,05/10/18,08:09,0,8,40,32,30 - 35,1,1,0,Residential,Nairobi
Car,Car,05/02/18,17:11,1,21,60,62,60 - 65,1,1,0,Industrial,Nairobi
Car,Car,17/08/18,20:28,1,35,50,49,45 - 50,1,1,0,Industrial,Kehancha
Car,Motorbike,02/10/18,18:23,0,10,70,68,65 - 70,1,1,0,Agricultural,Nairobi
Pedestrian,Car,19/02/18,10:24,1,23,40,47,45 - 50,1,1,0,Commercial,Nairobi
Motorbike,Pedestrian,27/07/18,18:45,0,19,40,39,35 - 40,N/A,1,0,Industrial,Nairobi
Car,Pedestrian,04/01/18,13:00,0,15,40,29,25 - 30,0,1,0,Industrial,Kikuyu
Motorbike,Motorbike,05/03/18,18:01,1,20,60,55,55 - 60,N/A,1,0,Residential,Mombasa
Motorbike,Car,16/10/18,19:29,0,32,50,45,45 - 50,0,1,1,Industrial,Nairobi
Car,Car,02/04/18,20:49,1,4,70,73,70 - 75,1,1,0,Transport,Mombasa
Car,Car,23/02/18,01:33,0,0,60,54,50 - 55,1,1,0,Transport,Nairobi
Bicycle,Bicycle,26/11/18,20:08,0,5,30,30,30 - 35,N/A,1,0,Agricultural,Nakuru
Pedestrian,Bicycle,15/05/18,03:09,0,20,30,34,30 - 35,N/A,1,0,Residential,Mombasa
Car,Car,23/06/18,08:16,1,40,50,50,50 - 55,1,1,0,Residential,Mombasa
Bicycle,Pedestrian,16/11/18,23:44,1,9,20,19,15 - 20,N/A,1,0,Industrial,Eldoret
Bicycle,Bicycle,17/07/18,17:31,0,6,30,30,30 - 35,N/A,1,0,Agricultural,Nairobi
Car,Car,12/06/18,18:39,0,4,70,63,60 - 65,1,0,0,Transport,Mombasa
Car,Motorbike,06/05/18,18:17,1,12,60,58,55 - 60,1,1,0,Residential,Nairobi
Pedestrian,Pedestrian,12/04/18,19:17,0,15,30,33,30 - 35,N/A,0,0,Agricultural,Nairobi
Bicycle,Bicycle,04/06/18,11:41,0,21,30,22,20 - 25,N/A,1,0,Residential,Nairobi
Motorbike,Pedestrian,21/10/18,03:23,0,23,40,51,50 - 55,N/A,1,1,Residential,Nairobi
Car,Car,28/03/18,10:27,0,19,40,34,30 - 35,0,1,1,Agricultural,Nairobi
Car,Pedestrian,01/03/18,19:17,0,4,20,23,20 - 25,0,1,0,Residential,Eldoret
Bicycle,Bicycle,07/06/18,08:33,0,27,30,35,35 - 40,N/A,1,0,Agricultural,Nairobi
Car,Car,01/08/18,18:17,1,14,70,65,65 - 70,1,1,0,Residential,Nairobi
Car,Bicycle,27/09/18,17:34,0,28,30,44,40 - 45,1,1,0,Residential,Nairobi
Car,Car,13/01/18,19:34,1,8,50,46,45 - 50,1,1,0,Transport,Nairobi
Car,Car,13/11/18,19:54,0,9,40,41,40 - 45,1,1,0,Agricultural,Mombasa
Pedestrian,Pedestrian,19/12/18,09:21,1,16,20,14,10 - 15,N/A,0,0,Commercial,Nairobi
Pedestrian,Pedestrian,08/08/18,09:33,1,15,20,12,10 - 15,N/A,1,0,Residential,Nairobi
Motorbike,Bicycle,28/02/18,18:55,0,11,30,34,30 - 35,N/A,1,0,Residential,Eldoret
Car,Car,15/11/18,15:00,1,28,60,70,70 - 75,1,1,0,Residential,Nairobi
Car,Car,12/04/18,20:11,0,9,50,46,45 - 50,1,1,0,Residential,Nairobi
Pedestrian,Bicycle,28/06/18,09:58,0,0,20,20,20 - 25,N/A,0,0,Industrial,Nairobi
Car,Bicycle,14/12/18,20:27,1,2,30,30,30 - 35,1,0,0,Industrial,Nairobi
Motorbike,Bicycle,24/05/18,16:54,1,14,30,36,35 - 40,N/A,1,0,Residential,Nairobi
Car,Pedestrian,03/05/18,18:27,0,3,40,31,30 - 35,1,0,0,Agricultural,Nairobi
Bicycle,Bicycle,27/08/18,04:28,0,10,40,41,40 - 45,N/A,1,0,Transport,Nairobi
Car,Car,24/03/18,00:41,0,7,50,49,45 - 50,1,1,0,Residential,Nakuru
Car,Bicycle,05/08/18,01:51,1,31,20,19,15 - 20,0,1,0,Residential,Nairobi
Pedestrian,Pedestrian,03/07/18,20:21,1,23,40,44,40 - 45,N/A,1,0,Residential,Mombasa
Motorbike,Car,20/05/18,10:33,1,9,70,59,55 - 60,0,1,0,Commercial,Nairobi
Car,Car,20/03/18,20:46,0,18,50,58,55 - 60,1,1,0,Agricultural,Nairobi
Car,Car,10/05/18,18:26,0,11,60,66,65 - 70,1,1,0,Residential,Nakuru
Car,Car,02/01/18,03:47,0,35,40,44,40 - 45,1,1,0,Agricultural,Nairobi
Car,Car,28/03/18,08:57,1,12,70,63,60 - 65,1,1,0,Transport,Nairobi
Car,Car,24/05/18,18:47,1,31,50,42,40 - 45,1,0,0,Industrial,Mombasa
Car,Motorbike,03/03/18,11:51,1,27,50,56,55 - 60,0,1,1,Commercial,Nairobi
Bicycle,Pedestrian,19/01/18,08:25,1,9,30,24,20 - 25,N/A,0,0,Commercial,Nairobi
Car,Car,04/08/18,08:29,1,2,30,27,25 - 30,1,0,0,Residential,Nairobi
Car,Car,07/03/18,17:52,0,12,50,44,40 - 45,0,1,0,Industrial,Kikuyu
Bicycle,Motorbike,06/02/18,21:00,0,3,20,20,20 - 25,N/A,1,0,Residential,Nairobi
Motorbike,Car,06/07/18,00:20,0,16,50,52,50 - 55,0,1,1,Commercial,Nairobi
Car,Bicycle,18/10/18,09:28,0,23,40,39,35 - 40,0,1,0,Industrial,Nakuru
Bicycle,Motorbike,11/05/18,17:35,0,1,30,23,20 - 25,N/A,1,0,Industrial,Eldoret
Motorbike,Motorbike,12/09/18,21:32,0,23,50,52,50 - 55,N/A,1,1,Residential,Mombasa
Car,Bicycle,09/03/18,18:20,0,17,40,49,45 - 50,0,1,0,Agricultural,Nairobi
Bicycle,Bicycle,01/02/18,08:28,1,29,20,12,10 - 15,N/A,1,0,Residential,Mombasa
Car,Car,24/04/18,12:56,0,17,60,66,65 - 70,1,1,0,Residential,Nairobi
Car,Bicycle,13/03/18,18:01,0,8,30,39,35 - 40,1,0,0,Commercial,Nairobi
Motorbike,Bicycle,12/11/18,09:57,0,16,30,26,25 - 30,N/A,1,0,Residential,Nairobi
Pedestrian,Pedestrian,20/09/18,20:03,0,18,20,18,15 - 20,N/A,0,0,Residential,Nairobi
Motorbike,Car,07/03/18,18:19,0,24,40,28,25 - 30,1,1,0,Residential,Mombasa
Pedestrian,Car,19/04/18,20:45,0,17,40,38,35 - 40,0,1,0,Residential,Kikuyu
Car,Car,04/03/18,10:28,1,6,60,55,55 - 60,1,1,0,Residential,Mombasa
Motorbike,Car,10/04/18,09:19,1,19,50,42,40 - 45,0,1,1,Residential,Mombasa
Car,Car,28/06/18,14:35,1,32,40,37,35 - 40,0,1,1,Residential,Nakuru
Car,Pedestrian,23/09/18,09:29,0,4,40,32,30 - 35,1,1,0,Agricultural,Nairobi
Car,Motorbike,05/05/18,01:08,1,12,40,37,35 - 40,1,1,0,Residential,Nairobi
Motorbike,Car,27/06/18,09:34,0,13,50,56,55 - 60,1,1,0,Agricultural,Nairobi
Pedestrian,Car,11/03/18,18:09,1,32,20,33,30 - 35,1,0,0,Residential,Mombasa
Bicycle,Motorbike,03/03/18,18:06,0,1,40,27,25 - 30,N/A,1,0,Residential,Mombasa
Pedestrian,Bicycle,16/10/18,10:34,0,10,20,17,15 - 20,N/A,0,0,Industrial,Kehancha
Pedestrian,Bicycle,07/06/18,23:13,0,9,20,8,5 - 10,N/A,0,0,Agricultural,Nairobi
Car,Motorbike,04/07/18,19:20,0,5,40,30,30 - 35,1,1,0,Residential,Mombasa
Bicycle,Pedestrian,11/07/18,19:52,0,19,30,29,25 - 30,N/A,1,0,Residential,Nairobi
Car,Car,05/10/18,17:37,0,11,50,39,35 - 40,0,1,0,Transport,Mombasa
Pedestrian,Bicycle,27/03/18,10:27,0,18,20,13,10 - 15,N/A,1,0,Agricultural,Nairobi
Car,Car,06/06/18,20:24,1,23,70,65,65 - 70,0,1,1,Residential,Mombasa
Car,Car,20/05/18,01:05,0,14,50,50,50 - 55,1,1,1,Residential,Nairobi
Car,Car,22/04/18,23:33,0,24,50,50,50 - 55,1,1,0,Residential,Nairobi
Car,Car,08/12/18,01:28,0,0,60,54,50 - 55,0,1,0,Transport,Eldoret
Car,Car,08/10/18,17:13,1,31,70,70,70 - 75,1,1,0,Residential,Nairobi
Motorbike,Bicycle,05/06/18,22:33,0,30,20,26,25 - 30,N/A,1,0,Transport,Kikuyu
Motorbike,Motorbike,11/09/18,19:32,1,20,40,34,30 - 35,N/A,1,1,Commercial,Kikuyu
Motorbike,Car,17/01/18,15:15,0,20,50,46,45 - 50,1,1,0,Agricultural,Nairobi
Car,Bicycle,17/04/18,10:42,0,12,50,59,55 - 60,1,1,0,Industrial,Mombasa
Car,Motorbike,16/12/18,09:47,1,23,60,59,55 - 60,1,1,1,Commercial,Eldoret
Car,Pedestrian,25/03/18,09:41,1,19,40,45,45 - 50,1,1,0,Residential,Nairobi
Car,Car,26/04/18,23:40,0,29,50,44,40 - 45,0,1,1,Residential,Mombasa
Car,Pedestrian,01/08/18,17:29,1,3,40,28,25 - 30,0,0,0,Agricultural,Mombasa
Bicycle,Bicycle,17/03/18,17:27,0,23,30,23,20 - 25,N/A,0,0,Residential,Nairobi
Car,Car,06/09/18,19:13,0,9,50,64,60 - 65,0,1,1,Transport,Nairobi
Motorbike,Bicycle,15/07/18,21:18,0,20,40,31,30 - 35,N/A,1,0,Transport,Nairobi
Pedestrian,Pedestrian,18/07/18,17:41,0,5,20,20,20 - 25,N/A,0,0,Residential,Nairobi
Pedestrian,Car,22/05/18,19:04,0,33,40,34,30 - 35,1,1,0,Agricultural,Nairobi
Car,Car,11/02/18,00:22,0,13,60,61,60 - 65,1,1,1,Industrial,Mombasa
Car,Car,06/08/18,17:29,0,17,40,42,40 - 45,1,1,0,Agricultural,Mombasa
Motorbike,Bicycle,13/12/18,20:12,0,12,30,33,30 - 35,N/A,1,0,Transport,Mombasa
Motorbike,Car,15/09/18,00:22,1,13,30,40,40 - 45,1,1,0,Residential,Nairobi
Pedestrian,Pedestrian,17/10/18,18:24,0,18,30,24,20 - 25,N/A,0,0,Commercial,Nakuru
Motorbike,Pedestrian,21/01/18,20:33,0,9,30,19,15 - 20,N/A,1,0,Commercial,Nairobi
Car,Car,07/12/18,04:32,0,19,50,48,45 - 50,1,1,0,Residential,Mombasa
Motorbike,Bicycle,10/12/18,08:34,0,17,30,29,25 - 30,N/A,1,0,Agricultural,Nakuru
Bicycle,Car,03/02/18,19:16,0,17,30,31,30 - 35,1,1,0,Agricultural,Nairobi
Car,Car,05/12/18,09:30,0,19,60,61,60 - 65,1,1,1,Industrial,Mombasa
Car,Car,08/11/18,19:14,0,6,50,43,40 - 45,1,1,0,Agricultural,Mombasa
Motorbike,Motorbike,20/11/18,06:56,0,21,30,27,25 - 30,N/A,1,0,Commercial,Eldoret
Motorbike,Car,17/12/18,20:53,1,9,50,49,45 - 50,0,1,1,Residential,Eldoret
Car,Car,20/12/18,20:28,1,19,50,59,55 - 60,1,1,0,Residential,Mombasa
Bicycle,Bicycle,18/10/18,10:51,0,24,30,28,25 - 30,N/A,1,0,Agricultural,Nairobi
Car,Car,06/09/18,08:53,0,22,60,49,45 - 50,1,1,1,Agricultural,Nairobi
Car,Motorbike,24/07/18,18:20,0,13,40,37,35 - 40,1,1,0,Residential,Mombasa
Pedestrian,Bicycle,08/07/18,08:31,0,20,30,30,30 - 35,N/A,1,0,Transport,Nakuru
Motorbike,Car,05/05/18,08:13,0,11,40,51,50 - 55,1,1,0,Residential,Nairobi
Car,Car,28/04/18,19:22,0,16,60,49,45 - 50,0,1,1,Agricultural,Nairobi
Car,Car,14/05/18,10:03,0,17,50,49,45 - 50,1,1,0,Residential,Nairobi
Pedestrian,Bicycle,01/03/18,10:34,1,4,20,33,30 - 35,N/A,0,0,Residential,Nairobi
Car,Car,10/12/18,10:09,0,23,50,50,50 - 55,1,1,0,Residential,Nairobi
Car,Car,25/11/18,17:34,0,17,40,48,45 - 50,1,1,0,Agricultural,Nairobi
Motorbike,Car,13/10/18,00:49,0,13,40,36,35 - 40,1,1,0,Residential,Nairobi
Pedestrian,Car,21/03/18,19:52,0,24,30,29,25 - 30,0,1,0,Agricultural,Nairobi
